TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Mischief,2007,11,25,5,46,2XX KAMLOOPS ST,Hastings-Sunrise,496034.9504,5458903.3686
Mischief,2008,3,22,20,57,2XX KAMLOOPS ST,Hastings-Sunrise,496034.9504,5458903.3686
Mischief,2019,1,16,12,0,2XX KAMLOOPS ST,Hastings-Sunrise,496034.9504,5458903.3686
Mischief,2011,6,12,7,21,2XX N KAMLOOPS ST,Hastings-Sunrise,496035.9203,5459334.4708
Mischief,2017,11,29,18,0,2XX N KAMLOOPS ST,Hastings-Sunrise,496035.9203,5459334.4708
Mischief,2003,12,13,19,50,2XX N RENFREW ST,Hastings-Sunrise,496800.352,5459332.023
Mischief,2005,8,21,22,40,2XX N RENFREW ST,Hastings-Sunrise,496800.352,5459332.023
Mischief,2005,8,26,20,49,2XX N RENFREW ST,Hastings-Sunrise,496800.352,5459332.023
Mischief,2006,10,2,1,41,2XX N RENFREW ST,Hastings-Sunrise,496800.352,5459332.023
Mischief,2014,11,10,23,9,2XX N RENFREW ST,Hastings-Sunrise,496800.352,5459332.023
Mischief,2004,4,2,16,0,2XX N SKEENA ST,Hastings-Sunrise,497945.8129,5459391.7204
Mischief,2004,6,15,19,0,2XX N SLOCAN ST,Hastings-Sunrise,496409.4907,5459358.8344
Mischief,2003,12,15,12,21,2XX N SLOCAN ST,Hastings-Sunrise,496418.6289,5459357.4593
Mischief,2014,12,20,0,0,2XX N SLOCAN ST,Hastings-Sunrise,496418.6289,5459357.4593
Mischief,2012,5,18,12,0,2XX N SLOCAN ST,Hastings-Sunrise,496418.8455,5459407.503
Mischief,2004,3,15,14,30,2XX NANAIMO ST,Hastings-Sunrise,495892.9468,5458902.8263
Mischief,2004,9,6,10,0,2XX NANAIMO ST,Hastings-Sunrise,495892.9468,5458902.8263
Mischief,2006,8,6,1,15,2XX NANAIMO ST,Hastings-Sunrise,495892.9468,5458902.8263
Mischief,2018,4,8,21,11,2XX NANAIMO ST,Hastings-Sunrise,495893.0032,5458915.8236
Mischief,2011,4,27,1,17,2XX RENFREW ST,Hastings-Sunrise,496796.4085,5458841.6589
Mischief,2005,2,2,21,53,2XX RENFREW ST,Hastings-Sunrise,496796.5219,5458819.9741
Mischief,2003,7,13,0,52,2XX RENFREW ST,Hastings-Sunrise,496805.1826,5458912.1314
Mischief,2004,12,17,8,0,2XX RENFREW ST,Hastings-Sunrise,496805.1826,5458912.1314
Mischief,2005,3,5,8,39,2XX RENFREW ST,Hastings-Sunrise,496805.1826,5458912.1314
Mischief,2005,12,3,22,36,2XX RENFREW ST,Hastings-Sunrise,496805.1826,5458912.1314
Mischief,2016,7,31,20,32,2XX RENFREW ST,Hastings-Sunrise,496805.1826,5458912.1314
Mischief,2018,1,26,22,39,2XX RENFREW ST,Hastings-Sunrise,496805.1826,5458912.1314
Mischief,2018,9,17,9,30,2XX RENFREW ST,Hastings-Sunrise,496805.1826,5458912.1314
Mischief,2018,11,17,21,3,2XX RENFREW ST,Hastings-Sunrise,496805.1826,5458912.1314
Mischief,2019,4,6,18,50,2XX RENFREW ST,Hastings-Sunrise,496805.1826,5458912.1314
Mischief,2019,4,6,19,0,2XX RENFREW ST,Hastings-Sunrise,496805.1826,5458912.1314
Mischief,2004,12,10,9,19,2XX SKEENA ST,Hastings-Sunrise,497944.9348,5458910.1248
Mischief,2018,9,12,0,0,2XX SKEENA ST,Hastings-Sunrise,497944.9348,5458910.1248
Mischief,2004,8,22,17,12,2XX SKEENA ST,Hastings-Sunrise,497944.9386,5458860.5122
Mischief,2006,5,5,21,30,2XX SKEENA ST,Hastings-Sunrise,497944.9386,5458860.5122
Mischief,2018,9,10,13,46,2XX SKEENA ST,Hastings-Sunrise,497944.9386,5458860.5122
Mischief,2022,10,7,21,30,2XX SKEENA ST,Hastings-Sunrise,497944.9386,5458860.5122
Mischief,2003,8,31,22,15,2XX SLOCAN ST,Hastings-Sunrise,496416.8967,5458903.9481
Mischief,2008,6,28,0,16,2XX SLOCAN ST,Hastings-Sunrise,496416.8967,5458903.9481
Mischief,2017,8,10,21,30,2XX SLOCAN ST,Hastings-Sunrise,496416.9059,5458913.801
Mischief,2003,4,26,19,0,30XX ADANAC ST,Hastings-Sunrise,496988.0677,5458295.755
Mischief,2021,3,8,16,30,30XX ADANAC ST,Hastings-Sunrise,496988.0677,5458295.755
Mischief,2004,4,8,1,12,30XX ADANAC ST,Hastings-Sunrise,497045.0869,5458296.1041
Mischief,2004,1,5,4,20,30XX ADANAC ST,Hastings-Sunrise,497064.0916,5458305.3641
Mischief,2013,8,20,9,0,30XX ADANAC ST,Hastings-Sunrise,497129.5193,5458305.6366
Mischief,2021,8,18,2,6,30XX CHARLES ST,Hastings-Sunrise,496989.0982,5457829.1985
Mischief,2004,11,13,19,0,30XX CHARLES ST,Hastings-Sunrise,496990.943,5457829.1921
Mischief,2004,11,20,15,0,30XX CHARLES ST,Hastings-Sunrise,496990.943,5457829.1921
Mischief,2021,7,4,23,0,30XX CHARLES ST,Hastings-Sunrise,497018.0033,5457829.0994
Mischief,2020,3,24,20,30,30XX CHARLES ST,Hastings-Sunrise,497050.5529,5457838.1319
Mischief,2020,10,24,22,0,30XX CHARLES ST,Hastings-Sunrise,497050.5529,5457838.1319
Mischief,2020,11,5,10,51,30XX CHARLES ST,Hastings-Sunrise,497145.3514,5457828.636
Mischief,2019,10,26,19,36,30XX CHARLES ST,Hastings-Sunrise,497156.061,5457837.739
Mischief,2014,7,17,7,30,30XX E 1ST AVE,Hastings-Sunrise,496992.2668,5457398.0756
Mischief,2017,11,17,1,30,30XX E 1ST AVE,Hastings-Sunrise,496992.2668,5457398.0756
Mischief,2021,11,20,16,36,30XX E 1ST AVE,Hastings-Sunrise,496992.2668,5457398.0756
Mischief,2008,2,1,18,0,30XX E 1ST AVE,Hastings-Sunrise,497070.2664,5457427.3012
Mischief,2004,1,4,1,27,30XX E 1ST AVE,Hastings-Sunrise,497126.01,5457397.2114
Mischief,2003,5,9,4,0,30XX E 2ND AVE,Hastings-Sunrise,497011.0216,5457297.6063
Mischief,2017,8,1,1,30,30XX E 2ND AVE,Hastings-Sunrise,497106.7306,5457306.6121
Mischief,2011,2,12,1,35,30XX E 2ND AVE,Hastings-Sunrise,497127.8169,5457297.4376
Mischief,2016,10,15,12,43,30XX E 3RD AVE,Hastings-Sunrise,496986.327,5457198.4227
Mischief,2007,4,19,8,47,30XX E 3RD AVE,Hastings-Sunrise,496996.7507,5457207.5129
Mischief,2020,9,8,14,58,30XX E 3RD AVE,Hastings-Sunrise,496996.8522,5457198.3679
Mischief,2020,12,18,17,30,30XX E 3RD AVE,Hastings-Sunrise,496996.8522,5457198.3679
Mischief,2020,7,1,20,0,30XX E 3RD AVE,Hastings-Sunrise,497003.9167,5457207.4752
Mischief,2007,11,23,20,0,30XX E 3RD AVE,Hastings-Sunrise,497031.9364,5457198.1851
Mischief,2007,11,30,21,30,30XX E 3RD AVE,Hastings-Sunrise,497031.9364,5457198.1851
Mischief,2013,8,25,0,0,30XX E 3RD AVE,Hastings-Sunrise,497031.9364,5457198.1851
Mischief,2014,6,1,1,0,30XX E 3RD AVE,Hastings-Sunrise,497031.9364,5457198.1851
Mischief,2014,5,26,0,0,30XX E 3RD AVE,Hastings-Sunrise,497052.9868,5457198.0754
Mischief,2019,9,4,22,45,30XX E 3RD AVE,Hastings-Sunrise,497053.0345,5457207.2193
Mischief,2018,5,10,6,3,30XX E 4TH AVE,Hastings-Sunrise,496988.94,5457095.6147
Mischief,2012,10,6,18,0,30XX E 4TH AVE,Hastings-Sunrise,497048.4004,5457104.5825
Mischief,2009,3,4,18,0,30XX E 4TH AVE,Hastings-Sunrise,497100.9463,5457095.2825
Mischief,2008,4,18,0,0,30XX E 5TH AVE,Hastings-Sunrise,496988.1443,5456987.6826
Mischief,2014,3,25,1,0,30XX E 5TH AVE,Hastings-Sunrise,496995.0363,5456996.792
Mischief,2022,2,24,18,0,30XX E 5TH AVE,Hastings-Sunrise,497012.5204,5456996.7027
Mischief,2006,4,25,0,5,30XX E 5TH AVE,Hastings-Sunrise,497047.4886,5456996.524
Mischief,2008,9,29,2,30,30XX E 5TH AVE,Hastings-Sunrise,497068.4229,5456987.273
Mischief,2007,8,20,23,0,30XX E 5TH AVE,Hastings-Sunrise,497089.4038,5456987.1658
Mischief,2003,5,9,22,0,30XX E 6TH AVE,Hastings-Sunrise,496987.3466,5456881.861
Mischief,2004,3,28,5,5,30XX E 6TH AVE,Hastings-Sunrise,496987.3466,5456881.861
Mischief,2012,7,13,17,0,30XX E 6TH AVE,Hastings-Sunrise,496990.6876,5456881.8444
Mischief,2011,7,10,23,0,30XX E 6TH AVE,Hastings-Sunrise,497017.4133,5456881.7108
Mischief,2015,4,24,19,0,30XX E 6TH AVE,Hastings-Sunrise,497017.4133,5456881.7108
Mischief,2006,9,7,18,0,30XX E 6TH AVE,Hastings-Sunrise,497050.0044,5456881.5482
Mischief,2008,10,15,18,0,30XX E 6TH AVE,Hastings-Sunrise,497050.0044,5456881.5482
Mischief,2016,3,1,9,30,30XX E 7TH AVE,Hastings-Sunrise,496982.8378,5456783.7746
Mischief,2020,5,13,21,0,30XX E 7TH AVE,Hastings-Sunrise,496982.8378,5456783.7746
Mischief,2010,1,5,19,0,30XX E 7TH AVE,Hastings-Sunrise,497000.2542,5456783.6598
Mischief,2010,1,1,4,35,30XX E 7TH AVE,Hastings-Sunrise,497013.15,5456783.5744
Mischief,2010,11,9,17,30,30XX E 7TH AVE,Hastings-Sunrise,497031.6641,5456792.5968
Mischief,2022,3,6,4,0,30XX E 7TH AVE,Hastings-Sunrise,497094.3633,5456792.1833
Mischief,2004,7,29,11,0,30XX E 8TH AVE,Hastings-Sunrise,496982.1926,5456681.0624
Mischief,2009,11,28,18,0,30XX E 8TH AVE,Hastings-Sunrise,496982.1926,5456681.0624
Mischief,2008,4,20,21,30,30XX E 8TH AVE,Hastings-Sunrise,496999.6061,5456690.1225
Mischief,2009,4,11,9,0,30XX E 8TH AVE,Hastings-Sunrise,497034.3447,5456689.9548
Mischief,2009,11,30,12,0,30XX E 8TH AVE,Hastings-Sunrise,497076.0311,5456689.7535
Mischief,2020,10,14,9,30,30XX E 8TH AVE,Hastings-Sunrise,497131.6129,5456689.4851
Mischief,2020,8,17,17,0,30XX E 8TH AVE,Hastings-Sunrise,497145.4641,5456680.2741
Mischief,2016,2,11,10,56,30XX E BROADWAY AVE,Hastings-Sunrise,497068.5146,5456576.3807
Mischief,2009,12,4,21,23,30XX E BROADWAY AVE,Hastings-Sunrise,497082.5028,5456576.076
Mischief,2005,6,9,19,45,30XX E BROADWAY AVE,Hastings-Sunrise,497097.5736,5456576.0307
Mischief,2019,6,29,17,15,30XX E GEORGIA ST,Hastings-Sunrise,496990.1119,5458386.2692
Mischief,2003,2,18,22,0,30XX E GEORGIA ST,Hastings-Sunrise,497088.4811,5458386.1884
Mischief,2009,5,15,23,27,30XX E GEORGIA ST,Hastings-Sunrise,497088.4811,5458386.1884
Mischief,2007,9,1,20,30,30XX E GEORGIA ST,Hastings-Sunrise,497133.4483,5458395.2951
Mischief,2008,3,11,23,0,30XX E GEORGIA ST,Hastings-Sunrise,497133.4483,5458395.2951
Mischief,2010,6,24,19,30,30XX E GEORGIA ST,Hastings-Sunrise,497133.4483,5458395.2951
Mischief,2010,7,1,18,26,30XX E GEORGIA ST,Hastings-Sunrise,497133.4483,5458395.2951
Mischief,2013,10,26,11,5,30XX E GEORGIA ST,Hastings-Sunrise,497150.4248,5458395.2812
Mischief,2016,3,29,11,13,30XX E HASTINGS ST,Hastings-Sunrise,496987.9672,5458707.8451
Mischief,2018,3,24,18,10,30XX E HASTINGS ST,Hastings-Sunrise,497059.6661,5458707.9219
Mischief,2003,4,4,22,0,30XX E HASTINGS ST,Hastings-Sunrise,497160.0445,5458708.0295
Mischief,2008,11,23,9,0,30XX E HASTINGS ST,Hastings-Sunrise,497160.0445,5458708.0295
Mischief,2009,7,9,17,44,30XX E HASTINGS ST,Hastings-Sunrise,497160.0445,5458708.0295
Mischief,2009,9,5,13,0,30XX E HASTINGS ST,Hastings-Sunrise,497160.0445,5458708.0295
Mischief,2012,9,28,8,0,30XX E HASTINGS ST,Hastings-Sunrise,497160.0445,5458708.0295
Mischief,2017,3,12,14,0,30XX E HASTINGS ST,Hastings-Sunrise,497160.0445,5458708.0295
Mischief,2005,5,9,9,0,30XX E PENDER ST,Hastings-Sunrise,496994.7813,5458601.6966
Mischief,2011,8,31,19,30,30XX E PENDER ST,Hastings-Sunrise,496994.7813,5458601.6966
Mischief,2017,6,3,19,33,30XX GRANT ST,Hastings-Sunrise,496993.0929,5457617.5362
Mischief,2004,9,16,20,0,30XX GRANT ST,Hastings-Sunrise,497062.3097,5457617.3629
Mischief,2003,12,5,21,50,30XX GRANT ST,Hastings-Sunrise,497117.6831,5457617.2242
Mischief,2019,5,24,18,30,30XX GRANT ST,Hastings-Sunrise,497128.0657,5457617.1982
Mischief,2007,3,23,23,0,30XX GRAVELEY ST,Hastings-Sunrise,496990.887,5457512.458
Mischief,2011,11,28,1,2,30XX GRAVELEY ST,Hastings-Sunrise,497041.3738,5457512.1201
Mischief,2015,11,15,23,0,30XX GRAVELEY ST,Hastings-Sunrise,497041.3738,5457512.1201
Mischief,2011,9,16,19,40,30XX GRAVELEY ST,Hastings-Sunrise,497048.127,5457521.2191
Mischief,2005,2,2,20,26,30XX GRAVELEY ST,Hastings-Sunrise,497051.4117,5457512.0529
Mischief,2005,2,25,1,3,30XX GRAVELEY ST,Hastings-Sunrise,497051.4117,5457512.0529
Mischief,2003,9,13,0,30,30XX GRAVELEY ST,Hastings-Sunrise,497081.7485,5457511.8497
Mischief,2007,11,7,2,36,30XX GRAVELEY ST,Hastings-Sunrise,497148.1472,5457511.405
Mischief,2006,11,2,17,30,30XX KITCHENER ST,Hastings-Sunrise,496991.4513,5457720.5921
Mischief,2006,12,28,2,9,30XX MILLER DR,Hastings-Sunrise,496981.3737,5459242.7268
Mischief,2007,1,4,0,0,30XX MILLER DR,Hastings-Sunrise,496981.3737,5459242.7268
Mischief,2010,9,22,22,40,30XX MILLER DR,Hastings-Sunrise,496981.3737,5459242.7268
Mischief,2013,5,17,23,58,30XX MILLER DR,Hastings-Sunrise,496981.3737,5459242.7268
Mischief,2019,8,18,13,0,30XX MILLER DR,Hastings-Sunrise,496981.3737,5459242.7268
Mischief,2009,6,12,21,25,30XX MILLER DR,Hastings-Sunrise,497053.948,5459172.3176
Mischief,2022,4,28,21,0,30XX PARKER ST,Hastings-Sunrise,496995.6088,5458064.5304
Mischief,2014,11,26,20,0,30XX TURNER ST,Hastings-Sunrise,497161.1369,5458477.3524
Mischief,2016,1,28,17,0,30XX VENABLES ST,Hastings-Sunrise,497001.4445,5458182.0531
Mischief,2004,4,10,1,0,30XX VENABLES ST,Hastings-Sunrise,497052.4349,5458182.1404
Mischief,2003,6,30,4,0,30XX VENABLES ST,Hastings-Sunrise,497066.2061,5458191.3078
Mischief,2017,8,14,1,0,30XX VENABLES ST,Hastings-Sunrise,497086.9016,5458182.1989
Mischief,2004,4,8,6,23,30XX VENABLES ST,Hastings-Sunrise,497100.6728,5458191.3663
Mischief,2003,7,15,0,0,30XX VENABLES ST,Hastings-Sunrise,497126.5457,5458182.266
Mischief,2020,7,1,14,27,30XX WALL ST,Hastings-Sunrise,496975.9531,5459622.1173
Mischief,2019,1,27,21,50,31XX ADANAC ST,Hastings-Sunrise,497220.8573,5458305.9372
Mischief,2019,4,27,22,43,31XX ADANAC ST,Hastings-Sunrise,497220.8573,5458305.9372
Mischief,2013,4,30,20,50,31XX ADANAC ST,Hastings-Sunrise,497276.6685,5458305.8351
Mischief,2020,1,31,18,0,31XX CHARLES ST,Hastings-Sunrise,497174.0746,5457828.5269
Mischief,2017,3,4,16,0,31XX CHARLES ST,Hastings-Sunrise,497283.1687,5457828.1239
Mischief,2007,10,27,11,29,31XX CHARLES ST,Hastings-Sunrise,497314.4811,5457827.998
Mischief,2020,6,15,0,0,31XX E 1ST AVE,Hastings-Sunrise,497172.2277,5457396.9139
Mischief,2003,1,30,20,30,31XX E 1ST AVE,Hastings-Sunrise,497183.0443,5457427.0007
Mischief,2004,12,23,20,0,31XX E 1ST AVE,Hastings-Sunrise,497183.0443,5457427.0007
Mischief,2005,2,12,7,52,31XX E 1ST AVE,Hastings-Sunrise,497183.0443,5457427.0007
Mischief,2019,9,13,0,0,31XX E 1ST AVE,Hastings-Sunrise,497183.0443,5457427.0007
Mischief,2015,8,17,0,0,31XX E 1ST AVE,Hastings-Sunrise,497242.8705,5457396.4737
Mischief,2020,12,28,23,30,31XX E 1ST AVE,Hastings-Sunrise,497290.1467,5457425.634
Mischief,2020,8,28,0,51,31XX E 2ND AVE,Hastings-Sunrise,497195.1271,5457306.4819
Mischief,2020,8,20,0,0,31XX E 2ND AVE,Hastings-Sunrise,497251.439,5457297.2517
Mischief,2010,1,1,22,0,31XX E 2ND AVE,Hastings-Sunrise,497300.7382,5457306.3204
Mischief,2018,8,10,16,19,31XX E 2ND AVE,Hastings-Sunrise,497307.765,5457297.1656
Mischief,2015,1,22,22,3,31XX E 2ND AVE,Hastings-Sunrise,497322.4597,5457306.2876
Mischief,2021,1,31,1,0,31XX E 3RD AVE,Hastings-Sunrise,497186.8594,5457197.3988
Mischief,2014,8,21,13,24,31XX E 3RD AVE,Hastings-Sunrise,497213.4398,5457206.4281
Mischief,2014,10,5,18,0,31XX E 3RD AVE,Hastings-Sunrise,497226.9351,5457206.3699
Mischief,2009,10,25,13,36,31XX E 3RD AVE,Hastings-Sunrise,497239.7159,5457197.171
Mischief,2011,10,30,9,49,31XX E 3RD AVE,Hastings-Sunrise,497250.2872,5457197.1254
Mischief,2007,7,24,0,0,31XX E 3RD AVE,Hastings-Sunrise,497274.9536,5457197.0191
Mischief,2011,9,26,6,0,31XX E 3RD AVE,Hastings-Sunrise,497303.1832,5457206.0415
Mischief,2016,1,26,23,0,31XX E 3RD AVE,Hastings-Sunrise,497317.9889,5457196.8332
Mischief,2018,3,18,16,0,31XX E 4TH AVE,Hastings-Sunrise,497171.7084,5457095.0697
Mischief,2003,7,24,18,30,31XX E 4TH AVE,Hastings-Sunrise,497182.1832,5457104.1793
Mischief,2020,6,4,21,25,31XX E 4TH AVE,Hastings-Sunrise,497199.8115,5457094.9775
Mischief,2004,1,25,1,31,31XX E 4TH AVE,Hastings-Sunrise,497206.9048,5457104.0984
Mischief,2006,7,9,23,33,31XX E 4TH AVE,Hastings-Sunrise,497263.3811,5457094.7693
Mischief,2012,4,7,8,30,31XX E 4TH AVE,Hastings-Sunrise,497263.3811,5457094.7693
Mischief,2008,2,1,12,0,31XX E 4TH AVE,Hastings-Sunrise,497274.006,5457103.8786
Mischief,2012,11,25,20,0,31XX E 4TH AVE,Hastings-Sunrise,497316.3858,5457103.7398
Mischief,2010,1,31,23,6,31XX E 5TH AVE,Hastings-Sunrise,497170.5216,5456986.7531
Mischief,2016,7,24,12,13,31XX E 5TH AVE,Hastings-Sunrise,497170.5216,5456986.7531
Mischief,2017,8,26,19,0,31XX E 5TH AVE,Hastings-Sunrise,497195.1491,5456995.7765
Mischief,2014,2,6,3,10,31XX E 5TH AVE,Hastings-Sunrise,497262.281,5456995.4471
Mischief,2009,9,19,22,0,31XX E 6TH AVE,Hastings-Sunrise,497215.2952,5456889.8057
Mischief,2013,8,18,17,10,31XX E 6TH AVE,Hastings-Sunrise,497225.9173,5456889.7408
Mischief,2014,4,27,21,12,31XX E 6TH AVE,Hastings-Sunrise,497332.083,5456879.9489
Mischief,2006,10,30,19,0,31XX E 7TH AVE,Hastings-Sunrise,497168.2062,5456782.546
Mischief,2015,7,26,17,0,31XX E 7TH AVE,Hastings-Sunrise,497168.2062,5456782.546
Mischief,2017,3,10,17,29,31XX E 7TH AVE,Hastings-Sunrise,497231.89,5456782.0853
Mischief,2007,8,30,23,0,31XX E 7TH AVE,Hastings-Sunrise,497270.0698,5456781.809
Mischief,2009,8,28,1,44,31XX E 8TH AVE,Hastings-Sunrise,497202.4755,5456689.1054
Mischief,2005,3,18,0,45,31XX E 8TH AVE,Hastings-Sunrise,497213.0692,5456679.9012
Mischief,2004,3,3,19,0,31XX E 8TH AVE,Hastings-Sunrise,497230.8118,5456679.8005
Mischief,2018,8,30,0,0,31XX E 8TH AVE,Hastings-Sunrise,497258.8224,5456679.6419
Mischief,2006,5,24,4,49,31XX E 8TH AVE,Hastings-Sunrise,497291.1886,5456688.6023
Mischief,2020,12,5,10,0,31XX E 8TH AVE,Hastings-Sunrise,497302.9903,5456679.3916
Mischief,2003,11,28,11,0,31XX E 8TH AVE,Hastings-Sunrise,497323.0734,5456679.2774
Mischief,2008,4,20,23,0,31XX E 8TH AVE,Hastings-Sunrise,497323.0734,5456679.2774
Mischief,2007,7,29,9,50,31XX E BROADWAY AVE,Hastings-Sunrise,497265.6479,5456575.4155
Mischief,2005,2,28,7,45,31XX E GEORGIA ST,Hastings-Sunrise,497179.8718,5458386.1435
Mischief,2010,7,26,22,0,31XX E GEORGIA ST,Hastings-Sunrise,497179.8718,5458386.1435
Mischief,2010,12,20,10,53,31XX E GEORGIA ST,Hastings-Sunrise,497179.8718,5458386.1435
Mischief,2004,8,24,23,0,31XX E GEORGIA ST,Hastings-Sunrise,497204.5154,5458395.4044
Mischief,2019,1,6,2,22,31XX E GEORGIA ST,Hastings-Sunrise,497204.5154,5458395.4044
Mischief,2005,5,5,21,0,31XX E GEORGIA ST,Hastings-Sunrise,497222.1489,5458395.4879
Mischief,2008,9,14,8,46,31XX E GEORGIA ST,Hastings-Sunrise,497260.9427,5458395.6717
Mischief,2004,2,20,3,0,31XX E GEORGIA ST,Hastings-Sunrise,497271.5228,5458395.7219
Mischief,2010,4,9,19,30,31XX E GEORGIA ST,Hastings-Sunrise,497289.2477,5458386.6617
Mischief,2007,10,5,16,23,31XX E GEORGIA ST,Hastings-Sunrise,497292.7263,5458386.6782
Mischief,2020,2,28,15,7,31XX E GEORGIA ST,Hastings-Sunrise,497292.7263,5458386.6782
Mischief,2020,2,29,15,0,31XX E GEORGIA ST,Hastings-Sunrise,497292.7263,5458386.6782
Mischief,2004,7,31,14,0,31XX E GEORGIA ST,Hastings-Sunrise,497296.2097,5458395.8388
Mischief,2007,10,17,9,8,31XX E GEORGIA ST,Hastings-Sunrise,497296.2097,5458395.8388
Mischief,2005,6,1,19,24,31XX E GEORGIA ST,Hastings-Sunrise,497345.6269,5458386.9289
Mischief,2015,5,16,22,30,31XX E GEORGIA ST,Hastings-Sunrise,497355.9588,5458386.9778
Mischief,2021,1,16,14,37,31XX E HASTINGS ST,Hastings-Sunrise,497184.6177,5458708.0554
Mischief,2013,8,8,21,25,31XX E HASTINGS ST,Hastings-Sunrise,497273.339,5458717.2932
Mischief,2015,8,12,14,47,31XX E PENDER ST,Hastings-Sunrise,497184.3484,5458600.9909
Mischief,2015,9,1,0,1,31XX E PENDER ST,Hastings-Sunrise,497184.3484,5458600.9909
Mischief,2016,4,21,2,10,31XX E PENDER ST,Hastings-Sunrise,497184.3484,5458600.9909
Mischief,2017,1,16,9,27,31XX E PENDER ST,Hastings-Sunrise,497184.3484,5458600.9909
Mischief,2004,6,2,20,32,31XX E PENDER ST,Hastings-Sunrise,497223.2644,5458600.9581
Mischief,2015,2,7,20,0,31XX E PENDER ST,Hastings-Sunrise,497237.4156,5458600.9461
Mischief,2020,5,27,15,50,31XX E PENDER ST,Hastings-Sunrise,497250.7022,5458600.9346
Mischief,2006,6,4,2,30,31XX E PENDER ST,Hastings-Sunrise,497283.9655,5458610.0506
Mischief,2008,7,19,7,55,31XX E PENDER ST,Hastings-Sunrise,497283.9655,5458610.0506
Mischief,2011,8,27,12,0,31XX E PENDER ST,Hastings-Sunrise,497283.9655,5458610.0506
Mischief,2018,8,4,14,26,31XX E PENDER ST,Hastings-Sunrise,497283.9655,5458610.0506
Mischief,2009,7,31,22,0,31XX GRANT ST,Hastings-Sunrise,497246.999,5457616.914
Mischief,2009,7,31,23,20,31XX GRANT ST,Hastings-Sunrise,497246.999,5457616.914
Mischief,2009,7,31,21,0,31XX GRANT ST,Hastings-Sunrise,497260.914,5457616.8819
Mischief,2015,7,17,23,0,31XX GRANT ST,Hastings-Sunrise,497270.9593,5457616.8585
Mischief,2015,9,6,14,0,31XX GRANT ST,Hastings-Sunrise,497270.9593,5457616.8585
Mischief,2006,1,28,21,55,31XX GRANT ST,Hastings-Sunrise,497323.9391,5457616.7347
Mischief,2003,6,12,16,57,31XX GRAVELEY ST,Hastings-Sunrise,497173.0592,5457511.2349
Mischief,2004,8,27,19,0,31XX GRAVELEY ST,Hastings-Sunrise,497173.0592,5457511.2349
Mischief,2014,8,15,19,36,31XX GRAVELEY ST,Hastings-Sunrise,497173.0592,5457511.2349
Mischief,2022,4,8,23,0,31XX GRAVELEY ST,Hastings-Sunrise,497180.0562,5457511.1838
Mischief,2007,11,14,23,30,31XX GRAVELEY ST,Hastings-Sunrise,497183.4727,5457520.303
Mischief,2022,5,10,21,0,31XX GRAVELEY ST,Hastings-Sunrise,497236.0317,5457510.7747
Mischief,2013,9,4,0,0,31XX GRAVELEY ST,Hastings-Sunrise,497306.068,5457519.4072
Mischief,2011,1,2,16,18,31XX MCGILL ST,Hastings-Sunrise,497362.3627,5459455.0657
Mischief,2003,8,31,14,0,31XX MILLER DR,Hastings-Sunrise,497150.8452,5459124.3094
Mischief,2004,8,6,21,8,31XX MILLER DR,Hastings-Sunrise,497150.8452,5459124.3094
Mischief,2005,8,12,23,15,31XX MILLER DR,Hastings-Sunrise,497150.8452,5459124.3094
Mischief,2005,11,28,21,44,31XX MILLER DR,Hastings-Sunrise,497150.8452,5459124.3094
Mischief,2008,7,24,12,25,31XX MILLER DR,Hastings-Sunrise,497150.8452,5459124.3094
Mischief,2012,6,11,11,52,31XX MILLER DR,Hastings-Sunrise,497150.8452,5459124.3094
Mischief,2014,9,2,15,50,31XX MILLER DR,Hastings-Sunrise,497150.8452,5459124.3094
Mischief,2015,7,12,19,22,31XX MILLER DR,Hastings-Sunrise,497150.8452,5459124.3094
Mischief,2019,7,17,17,30,31XX PARKER ST,Hastings-Sunrise,497192.7867,5458064.5286
Mischief,2019,7,29,2,45,31XX PARKER ST,Hastings-Sunrise,497192.7867,5458064.5286
Mischief,2019,9,4,4,0,31XX PARKER ST,Hastings-Sunrise,497192.7867,5458064.5286
Mischief,2019,10,23,22,30,31XX PARKER ST,Hastings-Sunrise,497192.7867,5458064.5286
Mischief,2019,11,1,1,0,31XX PARKER ST,Hastings-Sunrise,497192.7867,5458064.5286
Mischief,2020,6,12,3,45,31XX PARKER ST,Hastings-Sunrise,497192.7867,5458064.5286
Mischief,2020,6,18,22,0,31XX PARKER ST,Hastings-Sunrise,497192.7867,5458064.5286
Mischief,2006,4,30,23,42,31XX PARKER ST,Hastings-Sunrise,497229.6846,5458073.867
Mischief,2019,9,19,17,29,31XX PARKER ST,Hastings-Sunrise,497229.6846,5458073.867
Mischief,2007,8,25,20,37,31XX TURNER ST,Hastings-Sunrise,497180.405,5458477.1965
Mischief,2008,8,30,22,30,31XX TURNER ST,Hastings-Sunrise,497180.405,5458477.1965
Mischief,2008,10,26,20,0,31XX TURNER ST,Hastings-Sunrise,497180.405,5458477.1965
Mischief,2009,6,1,18,30,31XX TURNER ST,Hastings-Sunrise,497180.405,5458477.1965
Mischief,2009,6,1,19,30,31XX TURNER ST,Hastings-Sunrise,497180.405,5458477.1965
Mischief,2010,8,20,21,30,31XX TURNER ST,Hastings-Sunrise,497180.405,5458477.1965
